"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.7823146398342","13.8932887364353","5.93430995713365","3.3181265049917","14.3066936587685","2.67899220419694","7.00013721047865","12.3902080641897","15.1271199739072","2.40974974386648","7.02368048183568","9.68964300204284","-1.29301396504596","-2.66230960937178","16.7587928242685","","","","","","","","",
"Afghanistan","AFG","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0761521244506","-8.58837137685092","12.4667337111672","17.4753015854811","5.7130219412727","4.14675000279605","6.18185118633306","9.89484317022527","14.7211352219032","8.97493248872362","9.25159927449779","",
"Angola","AGO","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-84.6516161590206","-94.2199362860634","-29.1116178866181","7.15592815756895","-72.5550475505559","-60.7975192144598","-5.01929356780027","-33.4621460875102","6.07311485142902","30.4317601061658","32.2526806896379","5.72335039681167","4.51297940275033","-5.97247934306262","24.9520126216708","0.122277226251459","-4.35695021451151","8.95317368857298","12.9788233055756","17.9985117670244","21.7743258199178","-9.194978055564","",
"Albania","ALB","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-65.5164298876671","-39.682573742938","-10.6561202666796","13.3335716046773","-12.2577868003077","","","19.7784008984902","17.4273778442808","15.799377824649","12.5900817313478","8.43721025959799","9.18787178692285","10.1869798206666","9.97496367940344","10.1600835954279","5.00724866791432","9.99890932236001","7.97436387149243","9.89351382496936","9.73906797107729","9.50905681502057","7.0001181906389","8.6173059261355","9.88681156542834","",
"Andorra","AND","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","2.38688825082456","4.68968307597767","10.807739834158","16.4507066159575","19.802412808969","","","","","","","","","","","","","","","1.29326097298919","-1.54797803326863","10.652057270365","","","","","","","","","","","","","","","","",
"Argentina","ARG","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.01008579301131","14.2311110519169","10.5687442622144","9.75165232681387","12.5543666809332","13.1174683581839","9.94507167767402","29.1202848185975","16.179803860883","7.8288524592808","-9.78915778532334","-3.76573898962305","-4.49629725369551","-3.38254239370576","-3.00639086148202","0.240385057782125","-8.56602872006595","-7.77340523607893","-6.74819555440486","-5.48583918237899","-11.6006987702161","0.297463360306844","-6.71248541978178","",
"Armenia","ARM","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-18.8794907207262","39.1051682861002","30.9943493972822","34.1346115894274","38.7736674415257","33.3984630542697","21.7339742432576","18.3327469126979","15.5583254979699","11.5923305120572","14.2817319162453","11.3795280460686","12.7435114090599","10.4349146538126","15.8034515484424","10.6076357887352","12.9197578932397","11.2811932930888","12.21684304559","13.7812486605254","16.1800096765955","16.7527157215211","",
"American Samoa","ASM","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","-0.0324914659854002","-5.438163553401","-1.25566847474995","2.44331096974858","1.55231216058998","8.23489592721828","9.4588211023167","5.3582892913631","5.5877244593609","3.4812216340377","-1.07140101980237","7.73179913563888","10.83755484158","9.78872291677539","9.99241544963923","10.6695655928552","9.59020182732675","10.0511649827273","9.01370812445565","9.9729650526347","9.87658228825984","10.4117093946692","10.4571718536799","9.99224272847579","10.6119757535","13.919141693127","10.1562579185773","6.63746405361794","10.4397031640698","6.45824832265072","5.7950505623237","8.13196020526217","9.42339479535483","9.59992790699111","7.49088035046345","11.5401871709311","7.8065215356361","7.19930090273849","7.89670702648233","",
